Id,Label
nm0003267,Oskar Sima
nm0530591,Paul Löwinger
nm0051132,Ewald Balser
nm0750482,Sieghardt Rupp
nm0088396,Bernard Blier
nm0307995,Ivo Garrani
nm0266865,George Fant
nm0108400,Jean-Claude Brialy
nm0864397,Jean Tissier
nm0109762,Sacha Briquet
nm0441375,Masahiko Tsugawa
nm0442955,Yûsuke Kawazu
nm0945597,Junichiro Yamashita
nm0000026,Cary Grant
nm0000053,Robert Mitchum
nm0271792,Fung Fung
nm0000348,Tony Curtis
nm0001500,Karl Malden
nm0639529,Edmond O'Brien
nm0859939,Carlos Thompson
nm0017366,Alfredo Alcón
nm0558663,Kerwin Mathews
nm0738042,Gilbert Roland
nm0624146,Philip Needs
nm0093921,Derek Bond
nm0500318,Ronald Leigh-Hunt
nm0211306,Reed De Rouen
nm0177774,Ray Cooney
nm0654712,Eitarô Ozawa
nm0018872,Manuel Alexandre
nm0269485,Charles Fawcett
nm0864081,Gabriele Tinti
nm0289450,Arnoldo Foà
nm0502361,Rudolf Lenz
nm0318854,Walter Giller
nm0001559,Audie Murphy
nm0573640,Stephen McNally
nm0585557,Robert Middleton
nm0186833,John Crawford
nm0001374,Jeffrey Hunter
nm0418148,David Janssen
nm0198954,Vic Damone
nm0585004,Keith Michell
nm0036170,Peter Arne
nm0734597,Walter Roderer
nm0753687,Charles Regnier
nm0061871,Earl Bauer
nm0662700,Willard Parker
nm0799720,Dan Simmons
nm0390710,John Holland
nm0039068,John Ashley
nm0899090,Gary Vinson
nm0828789,Steve Stevens
nm0001078,Bing Crosby
nm0003104,Fabian
nm0374567,Gerard Heinz
nm0562807,Ferdy Mayne
nm0714496,Hartmut Reck
nm0018664,Pero Alexander
nm0226199,Harald Dietl
nm0000577,George Peppard
nm0108523,Pierre Brice
nm0475872,Yatarô Kurokawa
nm0645536,Hashizô Ôkawa
nm0645676,Denjirô Ôkôchi
nm0015110,Ushio Akashi
nm0941076,Norman Wooland
nm0932811,Douglas Wilmer
nm0158656,Tat-Wah Tso
nm0001637,Vincent Price
nm0198941,Mark Damon
nm0254041,Harry Ellerbe
nm0477107,Tak-Hing Kwan
nm0151179,Yao Lin Chen
nm0482644,Kwan-San Lam
nm0611535,Joy Mukherjee
nm0159159,Prem Chopra
nm0074405,Jacques Bergerac
nm0892436,István Velenczei
nm0002082,James Franciscus
nm0676265,Frantisek Peterka
nm0039567,Rudolf Asmus
nm0045011,Václav Babka
nm0752813,Robert Ryan
nm0000822,Jim Backus
nm0018667,Peter Alexander
nm0679973,Gunther Philipp
nm0943751,Richard Wyler
nm0778220,Dietmar Schönherr
nm0396998,Adrian Hoven
nm0758151,John Salew
nm0935903,Bernie Winters
nm0095718,James Booth
nm0000075,Spencer Tracy
nm0545298,Fredric March
nm0000037,Gene Kelly
