Source,Target,Label,Weight
nm0000821,nm0438501,tt0082797,3
nm0000821,nm0220828,tt0082797,5
nm0000821,nm0707274,tt0082797,5
nm0000821,nm0795652,tt0082797,4
nm0434318,nm0438501,tt0082797,4
nm0220828,nm0434318,tt0082797,4
nm0220828,nm0707274,tt0082797,5
nm0220828,nm0795652,tt0082797,3
nm0434318,nm0707274,tt0082797,6
nm0434318,nm0795652,tt0082797,5
nm0707274,nm0795652,tt0082797,6
nm0397184,nm0938199,tt0082802,4
nm0555722,nm0845867,tt0082807,3
nm0217134,nm0821466,tt0082811,3
nm0490492,nm0516316,tt0082825,3
nm0155291,nm0516316,tt0082825,4
nm0516316,nm0838936,tt0082825,3
nm0050853,nm0819825,tt0082842,4
nm0046987,nm0819825,tt0082842,4
nm0046987,nm0050853,tt0082842,10
nm0482670,nm0939147,tt0082851,4
nm0328221,nm0511703,tt0082858,4
