Id,category,Label
nm0654839,director,Mariano Ozores
nm0017822,actor,Arturo Alegro
nm0002662,actor,Orestes Matacena
nm0383090,actor,Raimundo Hidalgo-Gato
nm0880463,director,Jorge Ulla
nm0379539,writer,Clara Hernandez
nm0000901,actor,Jean-Paul Belmondo
nm0350196,actor,Georges Géret
nm0491626,director,Georges Lautner
nm0379150,writer,Jean Herman
nm0002192,writer,Michel Audiard
nm0001258,actor,James Garner
nm0000265,director,Robert Altman
nm0233209,writer,Paul Dooley
nm0312432,actor,Kornél Gelley
nm0468526,director,György Kovásznai
nm0001428,actor,Klaus Kinski
nm0577616,actor,Patrice Melennec
nm0332613,director,Dominique Goult
nm0000018,actor,Kirk Douglas
nm0000172,actor,Harvey Keitel
nm0084042,actor,Ed Bishop
nm0002045,director,Stanley Donen
nm0058045,director,John Barry
nm0025007,writer,Martin Amis
nm0794060,actor,Kaneto Shiozawa
nm0960022,actor,Hiroshi Ôtake
nm0837551,director,Taku Sugiyama
nm0856804,director,Osamu Tezuka
nm0874248,actor,Valentín Trujillo
nm0554924,director,Gilberto Martínez Solares
nm0311063,writer,Edgardo Gazcón
nm0643582,writer,Ramón Obón
nm0066838,actor,Ferenc Begányi
nm0042800,actor,István Avar
nm0091072,actor,Gyula Bodrogi
nm0844446,director,Péter Szász
nm0390805,actor,Walter Olkewicz
nm0227661,director,Chuck Vincent
nm0806092,writer,Bill Slobodian
nm0356792,actor,Hans Peter Hallwachs
nm0873223,actor,Heinz Trixner
nm0269077,actor,James Faulkner
nm0725287,director,Jochen Richter
nm0646397,director,Sergio Olhovich
nm0284639,writer,Jorge Fons
nm0051880,actor,Lino Banfi
nm0899911,actor,Alvaro Vitali
nm0312156,actor,Marco Gelardini
nm0850212,director,Michele Massimo Tarantini
nm0548151,writer,Giorgio Mariuzzo
nm0553916,writer,Luciano Martino
nm0587531,writer,Francesco Milizia
nm0927521,actor,Kees Wientjes
nm0774997,director,George Schouten
nm0736487,writer,Ism Bernard Roeters
nm0673081,actor,Augustin Pereira
nm0145954,actor,Carlos Catania
nm0145207,actor,Óscar Castillo
nm0510245,director,Peter Lilienthal
nm0805073,writer,Antonio Skármeta
nm0671831,actor,Peng Tien
nm0387385,actor,Ho Tien
nm0875416,actor,Hua Tsung
nm0955826,writer,Hsiang Kan Chu
nm0262137,actor,Jun Etô
nm0948422,director,Hiroto Yokoyama
nm0871745,actor,Michael Tregor
nm0248937,actor,Alfred Edel
nm0843661,actor,Sándor Szabó
nm0045880,director,Péter Bacsó
